PHAZIRref,X939.5,X948.6,X957.7,X966.9,X976,X985.1,X994.2,X1003.3,X1012.4,X1021.4,X1030.5,X1039.6,X1048.6,X1057.7,X1066.7,X1075.8,X1084.8,X1093.8,X1102.8,X1111.8,X1120.8,X1129.8,X1138.8,X1147.8,X1156.7,X1165.7,X1174.6,X1183.6,X1192.5,X1201.4,X1210.3,X1219.2,X1228.1,X1237,X1245.8,X1254.7,X1263.5,X1272.4,X1281.2,X1290,X1298.8,X1307.6,X1316.4,X1325.2,X1333.9,X1342.7,X1351.4,X1360.2,X1368.9,X1377.6,X1386.3,X1395,X1403.6,X1412.3,X1420.9,X1429.6,X1438.2,X1446.8,X1455.4,X1464,X1472.6,X1481.2,X1489.7,X1498.3,X1506.8,X1515.3,X1523.8,X1532.3,X1540.8,X1549.2,X1557.7,X1566.1,X1574.6,X1583,X1591.4,X1599.8,X1608.1,X1616.5,X1624.8,X1633.2,X1641.5,X1649.8,X1658.1,X1666.3,X1674.6,X1682.8,X1691.1,X1699.3,X1707.5,X1715.7,X1723.8,X1732,X1740.1,X1748.3,X1756.4,X1764.4,X1772.5,X1780.6,X1788.6,X1796.6
1,0.231987667,0.243567667,0.261075167,0.273411167,0.282088833,0.286199833,0.287174833,0.284933167,0.281198167,0.277142833,0.272673667,0.2678705,0.263547167,0.260335167,0.258017333,0.256441833,0.256070833,0.256998,0.2593235,0.263428333,0.270340667,0.2829345,0.3044225,0.331012667,0.352565833,0.364847,0.371223833,0.376987833,0.3818345,0.3842885,0.384745333,0.382995667,0.379256333,0.375036167,0.370805167,0.367377,0.365161667,0.364075667,0.363895333,0.364987333,0.368987333,0.376463,0.3878735,0.403163167,0.421546667,0.441327833,0.459626167,0.476029,0.494390667,0.519239,0.562306333,0.623350667,0.68856,0.743262667,0.782482833,0.808745167,0.824221833,0.831451167,0.834339,0.833091,0.8262495,0.814192667,0.799322667,0.782961167,0.767182333,0.750537167,0.736068333,0.7227965,0.710875667,0.699479167,0.688236833,0.678041,0.6690305,0.660740167,0.652216167,0.642292833,0.6319475,0.622106333,0.613777833,0.607292,0.602812,0.600339167,0.600531833,0.601599,0.602859333,0.603824333,0.606349667,0.610162667,0.614539667,0.619771,0.624168,0.625134833,0.627115,0.633104333,0.640151333,0.647539667,0.652967,0.6567385,0.658235667,0.656031167
2,0.202672667,0.2104515,0.223233667,0.2318915,0.238404833,0.241779833,0.242928667,0.241605833,0.239415667,0.2369175,0.234192333,0.2309635,0.227892333,0.225430667,0.2236135,0.221907333,0.220629833,0.220415667,0.221218667,0.223326167,0.2278765,0.236323333,0.250147,0.268077167,0.2834735,0.292979833,0.298191833,0.303217667,0.307644,0.309761167,0.310133667,0.3083725,0.304820333,0.3009215,0.296851333,0.293772667,0.2914455,0.290086667,0.289070833,0.288984167,0.290937667,0.295335167,0.3028785,0.3135245,0.326644167,0.341421667,0.355457667,0.368587333,0.382365833,0.399575,0.429858833,0.474636,0.524830833,0.569501,0.602943667,0.625599833,0.6387735,0.6449575,0.6475705,0.647187333,0.6424725,0.633541667,0.621790667,0.609233167,0.596014167,0.583606167,0.572624667,0.563266167,0.554846333,0.546435,0.537856167,0.530440333,0.523844,0.517741833,0.511092167,0.5029855,0.494210167,0.485512,0.478407333,0.472929833,0.469133167,0.4675285,0.467784,0.469206333,0.470581667,0.472638833,0.476655,0.481746,0.486267667,0.491477667,0.4951355,0.4948775,0.494612,0.497510667,0.503198,0.508762167,0.511979333,0.513119833,0.513342,0.511934833
3,0.186359333,0.196521,0.21101,0.2222735,0.230405,0.234052667,0.235423667,0.234225,0.2318175,0.228740667,0.224894667,0.2211775,0.2177425,0.214772333,0.212452,0.210756,0.209713833,0.209934167,0.2112125,0.214048167,0.219794,0.230039667,0.246225167,0.2666885,0.284623333,0.295623833,0.301368333,0.306639333,0.311373167,0.313676833,0.314240667,0.312796667,0.309350833,0.3049815,0.301058333,0.297818333,0.295606667,0.294255833,0.292991833,0.292475167,0.294382167,0.299221667,0.307170333,0.3185235,0.332969667,0.3492185,0.364601333,0.378522333,0.3924395,0.408459333,0.435700333,0.4758885,0.521332667,0.563253,0.595529167,0.617616667,0.630316667,0.636220167,0.639228,0.640158333,0.637798333,0.631503333,0.622676333,0.612923667,0.602874333,0.593119,0.584336833,0.577126167,0.570634,0.564107333,0.557492333,0.5513385,0.546046,0.541017667,0.534784167,0.526470167,0.517432167,0.508477833,0.501066667,0.495333667,0.491766833,0.490484167,0.491384667,0.493447833,0.495153,0.496563167,0.4997775,0.503531167,0.507411833,0.5122615,0.515678,0.5150305,0.515202333,0.518706833,0.523765333,0.528817833,0.532645333,0.534898667,0.535285167,0.533278667
4,0.2181995,0.229622667,0.246584167,0.259019667,0.266918167,0.271101333,0.271683,0.270017667,0.266602333,0.2624895,0.2582195,0.253459333,0.249346167,0.246006667,0.243565167,0.241889667,0.240940167,0.2415775,0.243391667,0.246793,0.253366667,0.265314833,0.285645,0.31134,0.332509667,0.3447105,0.3511695,0.357061,0.362253167,0.364861,0.365398833,0.363794667,0.360165333,0.355703167,0.351361833,0.3480765,0.345815167,0.3447605,0.344278333,0.345064667,0.3487435,0.3557485,0.3668105,0.381760833,0.399549,0.418989667,0.436946833,0.453445833,0.471270667,0.495604,0.537913833,0.597646333,0.661067667,0.713836667,0.751464,0.776600833,0.791457,0.7987725,0.801812833,0.800588333,0.793977,0.782248667,0.767649167,0.751752,0.735664833,0.7202495,0.705876,0.693321167,0.681709167,0.670653333,0.660100667,0.650364,0.641725333,0.634063667,0.6256775,0.616048167,0.605718667,0.595935833,0.587635667,0.581099833,0.576383,0.573783333,0.573029167,0.573667167,0.574106,0.575154333,0.5776815,0.581363667,0.585107167,0.589883667,0.593896667,0.595277333,0.597882667,0.602907167,0.610064,0.617278,0.62304,0.626076167,0.627300667,0.626476667
5,0.277821,0.291671667,0.3109255,0.325766,0.333935333,0.338526833,0.3393345,0.336127833,0.331756833,0.326464167,0.3208575,0.314831833,0.309653167,0.3055625,0.3029915,0.301073167,0.3004695,0.301813,0.304515833,0.309241,0.317472167,0.3323745,0.358473667,0.390699167,0.416103,0.430220167,0.4374055,0.443991,0.449529667,0.452178333,0.452636167,0.450675333,0.4465725,0.441880333,0.436945,0.433118667,0.430444667,0.4294815,0.429313833,0.4311235,0.436337667,0.445603833,0.459563167,0.477906833,0.499366333,0.521836167,0.542095167,0.5602995,0.581253333,0.610566667,0.660381333,0.728874667,0.798776833,0.855055167,0.893576833,0.919088167,0.934392167,0.941789333,0.945148333,0.9432905,0.9353445,0.921628167,0.905424,0.887770667,0.869794167,0.852686667,0.836806833,0.822315833,0.808917667,0.796161,0.783844833,0.772929667,0.763122,0.754086167,0.745231167,0.7350805,0.724795167,0.714595667,0.706008167,0.699489333,0.6948215,0.6918005,0.690952333,0.691388167,0.691635167,0.692546833,0.694687833,0.698208,0.7017815,0.7065805,0.710872833,0.713250833,0.716460167,0.723013333,0.730559167,0.7392685,0.745830833,0.749168333,0.7511565,0.749283667
6,0.164675667,0.174811,0.191233833,0.204009833,0.213024167,0.217890167,0.2197625,0.2183965,0.215836167,0.212495667,0.208744667,0.2047945,0.201337333,0.198349333,0.1960365,0.19433,0.1936595,0.193887667,0.195479,0.198952667,0.205722,0.217578167,0.236624833,0.260918,0.282106333,0.295082,0.301913833,0.308167333,0.313596667,0.316592,0.317407667,0.315756833,0.312096833,0.307341333,0.302795667,0.299316,0.296862333,0.2955525,0.2944445,0.294430333,0.297153167,0.303135167,0.313182,0.327281667,0.344662167,0.364245167,0.382681833,0.399295833,0.416630833,0.4379285,0.475347,0.529813167,0.590042833,0.643072,0.682448667,0.709298333,0.724889167,0.73243,0.735773167,0.735841667,0.730812833,0.720781833,0.707784833,0.693870833,0.679301667,0.665100167,0.652508,0.641561333,0.6316535,0.621966,0.61232,0.603502,0.5959175,0.588768167,0.580789,0.570979833,0.5603065,0.5501345,0.541484167,0.534819333,0.530432833,0.528536,0.5289895,0.530628167,0.532212667,0.533674333,0.536745,0.540934,0.545428,0.551011833,0.554858167,0.554704833,0.5558545,0.5605655,0.567558167,0.574869833,0.579536167,0.582244333,0.583402333,0.581809667
7,0.151624167,0.160939,0.173966,0.183547833,0.190395667,0.193257833,0.1942895,0.1930775,0.190614,0.1877855,0.184076,0.180758,0.1775995,0.174746,0.172774,0.171210667,0.170201833,0.1703765,0.171478,0.173826833,0.178707333,0.1874875,0.201652667,0.219839833,0.235537667,0.244951833,0.249589,0.253765333,0.257541,0.2592875,0.259444833,0.257828,0.254477333,0.250483667,0.246968167,0.244078833,0.242023667,0.240796833,0.239883833,0.239885333,0.241976833,0.246634667,0.2540105,0.264448,0.277586167,0.292284667,0.305986,0.318538,0.331440167,0.347497667,0.375679,0.417252833,0.464180833,0.506819167,0.539129,0.561071833,0.573677167,0.579298,0.581646167,0.581713833,0.577752333,0.569682833,0.559103667,0.547648333,0.536016833,0.5250285,0.5151935,0.506905,0.499495667,0.492024667,0.4848595,0.4781045,0.4720745,0.466556167,0.460166667,0.452121667,0.443624667,0.435464833,0.4285745,0.423213333,0.41994,0.418782833,0.419687333,0.421636333,0.423208333,0.424663333,0.427646167,0.431499167,0.435582167,0.4404645,0.443722833,0.443119167,0.443187667,0.4468115,0.451893667,0.457252833,0.461172,0.463282333,0.46362,0.461576167
8,0.141451,0.150274667,0.162288667,0.171475667,0.178376333,0.181409333,0.1829015,0.182092667,0.180351667,0.1780145,0.1749895,0.172222667,0.169500167,0.167008167,0.165132833,0.16358,0.1623525,0.162185833,0.162759833,0.164688333,0.169130667,0.176745167,0.188684833,0.204179833,0.218435667,0.227420333,0.232016833,0.2362185,0.240170167,0.2420135,0.242334333,0.240813833,0.237557167,0.2335775,0.230094,0.227301333,0.225280333,0.223972167,0.222691333,0.222024667,0.223225,0.226753667,0.232753833,0.241656167,0.253303333,0.2666305,0.279520333,0.291380167,0.3029545,0.316213,0.339678833,0.375624833,0.417948,0.458575333,0.490523833,0.512723833,0.525658833,0.531534167,0.5342565,0.5349635,0.532247333,0.525571667,0.516326667,0.5060155,0.495527,0.4854545,0.4767785,0.469680667,0.463565333,0.457235667,0.450871167,0.444832833,0.439681167,0.434785833,0.428763667,0.420988,0.412390333,0.404111167,0.3971745,0.391868833,0.388755333,0.387711833,0.388748167,0.390745667,0.392663,0.394506,0.398203833,0.402648,0.406922167,0.411529333,0.414721667,0.413417,0.4125555,0.415572,0.420037333,0.424833667,0.427577167,0.429041833,0.428827833,0.427098167
9,0.210932167,0.219014333,0.234168833,0.244467667,0.2518025,0.255601833,0.256707667,0.254943,0.251868333,0.248449333,0.244901167,0.241035833,0.237255833,0.234601167,0.232555833,0.230949167,0.2301875,0.230521333,0.232025167,0.23521,0.240872667,0.2511625,0.269134833,0.291783833,0.310731,0.322051167,0.327911333,0.333432167,0.3379975,0.340359,0.340814333,0.339121,0.335348,0.331287167,0.327003833,0.323879333,0.3215525,0.320366667,0.319934667,0.320596,0.3238255,0.3301805,0.340206667,0.353925167,0.370549667,0.388753,0.4058195,0.421339167,0.438531833,0.461670167,0.502169,0.5609305,0.624428167,0.678199167,0.716719,0.742540333,0.757768167,0.764953833,0.767939667,0.766848167,0.7602025,0.748487333,0.7338145,0.717981667,0.701615833,0.6858645,0.671621,0.659146,0.647746167,0.636526667,0.625943833,0.616298333,0.607739167,0.599875167,0.591710833,0.5821185,0.571899,0.561936333,0.553772333,0.547191667,0.542654,0.540631,0.540546833,0.541472167,0.542552,0.544210833,0.5472695,0.551526167,0.555223,0.560635667,0.565058167,0.565820833,0.567706333,0.573012667,0.579936667,0.586986833,0.591724833,0.595567833,0.597076667,0.594921
10,0.277821,0.291671667,0.3109255,0.325766,0.333935333,0.338526833,0.3393345,0.336127833,0.331756833,0.326464167,0.3208575,0.314831833,0.309653167,0.3055625,0.3029915,0.301073167,0.3004695,0.301813,0.304515833,0.309241,0.317472167,0.3323745,0.358473667,0.390699167,0.416103,0.430220167,0.4374055,0.443991,0.449529667,0.452178333,0.452636167,0.450675333,0.4465725,0.441880333,0.436945,0.433118667,0.430444667,0.4294815,0.429313833,0.4311235,0.436337667,0.445603833,0.459563167,0.477906833,0.499366333,0.521836167,0.542095167,0.5602995,0.581253333,0.610566667,0.660381333,0.728874667,0.798776833,0.855055167,0.893576833,0.919088167,0.934392167,0.941789333,0.945148333,0.9432905,0.9353445,0.921628167,0.905424,0.887770667,0.869794167,0.852686667,0.836806833,0.822315833,0.808917667,0.796161,0.783844833,0.772929667,0.763122,0.754086167,0.745231167,0.7350805,0.724795167,0.714595667,0.706008167,0.699489333,0.6948215,0.6918005,0.690952333,0.691388167,0.691635167,0.692546833,0.694687833,0.698208,0.7017815,0.7065805,0.710872833,0.713250833,0.716460167,0.723013333,0.730559167,0.7392685,0.745830833,0.749168333,0.7511565,0.749283667
